,participant,block_num,trial_num,condition,rt,low_opt_feed,mid_opt_feed,high_opt_feed,selected_option,selected_fvalue,difficulty,magnitude,choice,rt_quantile
2535,13,4,145,DEF,1.029,47,41,50,F,50,hard,high,3,4
2536,13,4,146,ABC,0.615,22,36,44,A,22,hard,low,1,2
2537,13,4,147,BDF,0.54,36,44,52,F,52,easy,high,3,2
2538,13,4,148,DEF,1.175,51,41,54,F,54,hard,high,3,5
2539,13,4,149,ABC,0.423,34,41,45,A,34,hard,low,1,1
2540,13,4,150,DEF,1.175,46,44,53,F,53,hard,high,3,5
2541,13,4,151,ABC,0.985,37,43,37,A,37,hard,low,1,4
2542,13,4,152,BDF,2.367,39,46,48,F,48,easy,high,3,6
2543,13,4,153,ACE,1.242,34,34,44,A,34,easy,low,1,4
2544,13,4,154,BDF,0.715,34,41,47,D,41,easy,high,2,3
2545,13,4,155,ACE,0.606,31,38,44,A,31,easy,low,1,2
2546,13,4,156,BDF,1.083,30,41,45,F,45,easy,high,3,5
2547,13,4,157,ACE,2.762,35,38,36,A,35,easy,low,1,6
2548,13,4,158,ABC,0.65,32,38,36,A,32,hard,low,1,2
2549,13,4,159,DEF,0.69,35,53,56,F,56,hard,high,3,3
2550,13,4,160,ABC,0.919,34,37,50,A,34,hard,low,1,3
2551,13,4,161,DEF,0.663,45,54,51,D,45,hard,high,1,2
2552,13,4,162,ABC,0.521,26,30,40,C,40,hard,low,3,2
2553,13,4,163,BDF,1.124,35,37,46,D,37,easy,high,2,5
2554,13,4,164,ABC,0.749,29,28,36,C,36,hard,low,3,3
2555,13,4,165,DEF,0.7,34,43,44,D,34,hard,high,1,3
2556,13,4,166,ACE,0.8,27,39,45,A,27,easy,low,1,3
2557,13,4,167,BDF,0.584,36,52,52,D,52,easy,high,2,2
2558,13,4,168,DEF,0.599,42,44,44,F,44,hard,high,3,2
2559,13,4,169,ACE,1.528,20,40,49,C,40,easy,low,2,5
2560,13,4,170,ABC,0.441,35,26,39,A,35,hard,low,1,2
2561,13,4,171,ACE,0.821,18,44,49,C,44,easy,low,2,3
2562,13,4,172,BDF,0.762,30,39,55,F,55,easy,high,3,3
2563,13,4,173,DEF,0.511,30,52,52,F,52,hard,high,3,2
2564,13,4,174,ACE,0.662,30,29,43,E,43,easy,low,3,2
2565,13,4,175,DEF,0.685,36,46,52,F,52,hard,high,3,3
2566,13,4,176,BDF,0.98,37,42,53,D,42,easy,high,2,4
2567,13,4,177,ACE,0.773,28,26,47,A,28,easy,low,1,3
2568,13,4,178,DEF,0.464,36,48,49,D,36,hard,high,1,1
2569,13,4,179,BDF,0.934,46,44,55,F,55,easy,high,3,4
